"uri","answering body","answer text","answering member > label","answering member constituency","answering member printed","date of answer","uin"
"http://data.parliament.uk/resources/100207/answer","Department of Health","<p>This information is not held centrally.</p><p> </p><p><strong> </strong></p><p> </p><p>Fetal Alcohol Spectrum Disorder (FASD) is an umbrella term used to describe a range of conditions associated with prenatal alcohol exposure.</p><p> </p><p> </p><p> </p><p>Early intervention services can help reduce some of the effects of Fetal Alcohol Syndrome and prevent some of the secondary disabilities that result.</p><p> </p><p> </p><p> </p><p>Responsibility for commissioning these services lies with clinical commissioning groups.</p><p> </p>","Biography information for Jane Ellison","Battersea","Jane Ellison","2014-10-24","211389"
"http://data.parliament.uk/resources/100208/answer","Department of Health","<p>Since July 2014, Public Health England (PHE) has been issuing advice to health care providers about the Ebola outbreak in West Africa. The outbreak was declared an international public health emergency by the United Nations in August. The advice from PHE has been extensive, covering issues such as guidance on the management of patients and infection control and prevention for staff.</p><p> </p><p> </p><p> </p><p>The Chief Medical Officer has issued three Central Alerting System alerts on the Ebola outbreak in West Africa, on 2 July, 1 August and 7 October. The alert reminded healthcare providers to remain vigilant for cases imported to the United Kingdom, emphasising the importance of taking a full travel history when assessing relevant patients and information on identifying and managing possible cases of Ebola virus disease and actions for all clinicians to ensure preparedness for the possibility of an imported case in the UK.</p><p> </p><p> </p><p> </p><p>These alerts were cascaded to the entire NHS in England, as well as PHE, PHE Consultants in Communicable Disease Control, PHE Consultants in Health Protection,</p><p> </p><p>Trust Microbiologists, Virologists and Infectious Disease Clinicians, private hospitals across England and Clinical Commissioning Group Leads. The alert was also sent to the devolved administrations.</p><p> </p><p><strong> </strong></p><p> </p>","Biography information for Jane Ellison","Battersea","Jane Ellison","2014-10-24","211390"
"http://data.parliament.uk/resources/100209/answer","Department of Health","<p>The Ministers of the Department of Health have had no meetings with their European Union counterparts about treatment strategies for scoliosis.</p><p> </p><p> </p><p> </p><p>Scoliosis is the abnormal curvature of the spine to the sides but is not considered a disease and does not always require treatment. However, for those in which the condition causes a long-term problem, the Department in its mandate to NHS England sets out plans to enhance the quality of life for all patients with a long-term condition, including those affected by scoliosis.</p><p> </p><p> </p><p> </p><p>In addition, the National Institute for Health and Care Excellence published guidance in June 2014 which states that the ‘Magnetic Expansion Control System should be considered for children aged 2 and over with scoliosis, who need surgery to correct their curved spine’.</p><p> </p><p> </p><p> </p><p>Information concerning the number of finished consultant episodes for patients with a primary diagnosis of scoliosis in the last five years is attached. It should be noted that these figures do not represent the number of different patients, as a person may have more than one episode of care within the same stay in hospital or in different stays in the same year. Data also capture a small number of no-surgical interventions, such as drug treatments.</p><p> </p><p> </p><p> </p><p> </p><p> </p><p>The cost of treating a patient aged 19 years and over with scoliosis or other spinal deformity in one episode of care under a consultant is £1,368. This is the national average unit cost reported by NHS trusts and foundation trusts in 2012-13 reference costs submitted to the Department. This national average unit cost varies from £924 for patients with the lowest level of complications and comorbidities to £2,412 for patients with the highest level of complications and comorbidities.</p><p> </p><p> </p><p> </p>","Biography information for Norman Lamb","North Norfolk","Norman Lamb","2014-10-28","211378"
"http://data.parliament.uk/resources/10021/answer","Cabinet Office","<p>I have been asked to reply on behalf of the Treasury.</p><p>The UK Government is not planning for independence as it believes that people in Scotland will vote to remain within the UK. As such, the Government has made no assessment of the risk of losses to the public purse, and has no plans to change accounting officers conventions</p>","Biography information for Danny Alexander","Inverness, Nairn, Badenoch and Strathspey","Danny Alexander","2014-02-25","154017"
"http://data.parliament.uk/resources/100210/answer","Home Office","<p>The Joint Terrorism Analysis Centre is responsible for assessing a range of terrorist threats facing the UK, including terrorist use of cyber space, and keeps such threats under regular review. The threat from international terrorism, regardless of the methodology employed, is currently assessed as SEVERE, meaning that an attack is highly likely.</p><p> </p><p> </p><p> </p>","Biography information for James Brokenshire","Old Bexley and Sidcup","James Brokenshire","2014-10-27","211388"
"http://data.parliament.uk/resources/100211/answer","Home Office","<p>The Detained Fast Track (DFT) and the Detained Non-Suspensive Appeals (DNSA) process exist to deal with claims for asylum that appear, after screening, to be ones where a particularly quick decision can be made. Entry to the Detained Fast Track procedure is determined by reference to published policy available on the Gov.uk website. The policy neither requires nor excludes claims based on the nationality or country of origin of the claimants. The system operates flexibly and in cases where it becomes apparent that a claim is more complicated and cannot be determined within the DFT/DNSA indicative time-scale, the case is taken out of the process and the claimant normally released from detention.</p><p> </p><p> </p><p> </p>","Biography information for James Brokenshire","Old Bexley and Sidcup","James Brokenshire","2014-11-17","211403"
"http://data.parliament.uk/resources/100212/answer","Home Office","<p>This information is not held centrally. The Independent Police Complaints Commission will write to my hon. Friend and I will place a copy of the letter in the Library of the House.</p><p> </p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-28","211361"
"http://data.parliament.uk/resources/100213/answer","Home Office","<p>No central records are kept of the number of judicial reviews successfully brought against the department since 2010 and it would incur disproportionate cost to try to acquire this information.</p><p> </p><p> </p><p> </p>","Biography information for Karen Bradley","Staffordshire Moorlands","Karen Bradley","2014-10-24","211302"
"http://data.parliament.uk/resources/100214/answer","Home Office","<p>The UK does not participate fully in Frontex by virtue of its decision not to join the external borders part of Schengen agreement. The Frontex Regulation was nevertheless drafted in such a way to require Frontex to facilitate operational cooperation between the UK and Member States on a case by case basis (Article 12(1) of the Frontex Regulation). The nature of Frontex lends itself to UK involvement on a case by case basis.<br><br>As a result there have been no occasions within the last five years when the Management Board of Frontex has refused an offer made by the UK to make its expertise and facilities available for Frontex activities.<br><br>Over the last five years, the UK has provided experts in air borders, returns and fraudulent documents as well as debriefers, interpreters, screeners and a heartbeat detector with operator.</p><p> </p><p> </p><p> </p>","Biography information for James Brokenshire","Old Bexley and Sidcup","James Brokenshire","2014-10-27","211292"
"http://data.parliament.uk/resources/100215/answer","Home Office","<p>The UK does not participate fully in Frontex by virtue of its decision not to join the external borders part of Schengen agreement. The Frontex Regulation was nevertheless drafted in such a way to require Frontex to facilitate operational cooperation between the UK and Member States on a case by case basis (Article 12(1) of the Frontex Regulation). The nature of Frontex lends itself to UK involvement on a case by case basis.<br><br>As a result there have been no occasions within the last five years when the Management Board of Frontex has refused an offer made by the UK to make its expertise and facilities available for Frontex activities.<br><br>Over the last five years, the UK has provided experts in air borders, returns and fraudulent documents as well as debriefers, interpreters, screeners and a heartbeat detector with operator.</p><p> </p><p> </p><p> </p>","Biography information for James Brokenshire","Old Bexley and Sidcup","James Brokenshire","2014-10-27","211298"
"http://data.parliament.uk/resources/100216/answer","Department for Environment, Food and Rural Affairs","<p>Statistics on this are not held centrally but would be held by each police force.</p><p> </p><p> </p><p> </p>","Biography information for George Eustice","Camborne and Redruth","George Eustice","2014-10-28","211224"
"http://data.parliament.uk/resources/100217/answer","Ministry of Justice","<p /> <p>The Data Protection Act 1998 (DPA) does not place a legal obligation on data controllers to report breaches of security which result in loss, release or corruption of personal data. However, the Information Commissioner’s Office (ICO) has made clear that serious breaches should be brought to their attention. The nature of the breach or loss can then be considered together with whether the data controller is properly meeting their responsibilities under the DPA. The DPA does not define ‘serious breaches’ but the ICO have produced guidance to assist data controllers when deciding whether to report a breach. The guidance can be found on its website at: www.ico.org.uk.</p><p>The ICO has a range of tools to allow it to respond robustly and to make sure that private and public sector organisations meet their information rights obligations, such as issuing monetary penalty notices, requiring an organisation(s) to pay up to £500,000 for serious breaches of the DPA.</p>","Biography information for Simon Hughes","Bermondsey and Old Southwark","Simon Hughes","2014-10-28","211226"
"http://data.parliament.uk/resources/100218/answer","Home Office","<p>It is difficult to draw causality between the Licensing Act 2003 and changing behaviours. The Licensing Act 2003 came into force in November 2005. Data on offences which are ‘alcohol related’ are drawn from the Crime Survey of England and Wales, which asks victims of violent incidents whether they perceived the offender to be under the influence of alcohol at the time of the offence. By this measure, the number of violent incidents considered to be‘alcohol related’ has fallen from around 1.02 million incidents in 2005/06, to around 0.88 million incidents in 2012/13 (a fall of 14%). <br><br>The definition of binge drinking used by the NHS is drinking more than double the lower risk guidelines for alcohol in one session – more than 8 units for men and 6 units for women. The Opinions and Lifestyle survey, published by the Office of National Statistics provides our best measure for this. The data shows that in 2005, 23% of men and 15% of women drank over twice the lower risk guidelines on at least one day in the week before interview. This fell to 19 % of men and 11 % of women in 2012.</p><p> </p><p> </p><p> </p>","Biography information for Norman Baker","Lewes","Norman Baker","2014-10-30","211227"
"http://data.parliament.uk/resources/100219/answer","Department for International Development","<p>DFID’s Digital Strategy 12 Months On Report (<a href="https://www.gov.uk/government/publications/department-for-international-development-digital-strategy-2012-to-2015" target="_blank">https://www.gov.uk/government/publications/department-for-international-development-digital-strategy-2012-to-2015</a>) details our Department’s progress during 2013. We will publish a report on our progress made during 2014 in December 2014. This will include updates on delivering better results, building capability in our staff, making it easy to do business with DFID (such as the new international development funding finder) and improving the way we communicate on major issues.</p><p> </p>","Biography information for Mr Desmond Swayne","New Forest West","Mr Desmond Swayne","2014-10-24","211258"
"http://data.parliament.uk/resources/10022/answer","Cabinet Office","<p>I have been asked to reply on behalf of the Treasury.</p><p>The UK Government is not planning for independence as it believes that people in Scotland will vote to remain within the UK. As such, the Government has made no assessment of the risk of losses to the public purse, and has no plans to change accounting officers conventions</p>","Biography information for Danny Alexander","Inverness, Nairn, Badenoch and Strathspey","Danny Alexander","2014-02-25","154018"
"http://data.parliament.uk/resources/100220/answer","Department for International Development","<p>In response to the current crisis, the UK has allocated an overall aid package of £23 million for 2014/15 to support the needs of internally displaced people in Iraq. £18.7 million of this has been allocated for Northern Iraq. Given the displacement and movement of people in Iraq, it is not possible to have precise information on the number of women and girls assisted by UK aid programmes in the Kurdistan Region of Iraq.</p><p> </p><p> </p><p> </p><p>DFID funding includes programming to prevent and respond to sexual violence. Activities include establishing women and children’s community centres, which provide group counselling and support for women, as well as offering safe spaces for children to play and learn.</p><p> </p>","Biography information for Justine Greening","Putney","Justine Greening","2014-10-28","211269"
"http://data.parliament.uk/resources/100221/answer","Department for International Development","<p>In response to the current crisis, the UK has allocated an overall aid package of £23 million for 2014/15 to support the needs of internally displaced people in Iraq. £18.7 million of this has been allocated for Northern Iraq. The total amount of aid that has been allocated to the Kurdistan region of Iraq is not possible to quantify exactly as our humanitarian partners are distributing aid based on need across Northern Iraq.</p><p> </p>","Biography information for Justine Greening","Putney","Justine Greening","2014-10-28","211268"
"http://data.parliament.uk/resources/100222/answer","Department for International Development","<p>The UK has not carried out any aid drops to the Kurdistan region of Iraq.</p><p> </p><p> </p><p> </p><p>The UK carried out 7 airdrops of humanitarian assistance to Mount Sinjar and 2 air drops to the town of Amerli in Northern Iraq.</p><p> </p><p> </p><p> </p><p> </p><p> </p>","Biography information for Justine Greening","Putney","Justine Greening","2014-10-28","211264"
"http://data.parliament.uk/resources/100223/answer","Department for International Development","<p>In response to the current crisis, the UK has allocated an overall aid package of £23 million for 2014/15 to support the needs of internally displaced people in Iraq. £18.7 million of this has been allocated for Northern Iraq. The total amount of aid that has been allocated to the Kurdistan region of Iraq is not possible to quantify exactly as our humanitarian partners are distributing aid based on need across Northern Iraq.</p><p> </p>","Biography information for Justine Greening","Putney","Justine Greening","2014-10-28","211262"
"http://data.parliament.uk/resources/100224/answer","Department for International Development","<p>The Digital Advisory Panel has focused on the areas of work outlined in the DFID digital strategy and challenged the department to look at ways of improving how digital can support delivery of results in our development programmes, improve our internal business processes, and help us become more open and engaging. We will publish a report on our progress in December 2014.</p><p> </p><p> </p><p> </p>","Biography information for Mr Desmond Swayne","New Forest West","Mr Desmond Swayne","2014-10-24","211351"
"http://data.parliament.uk/resources/100225/answer","Ministry of Justice","<p>The purpose of an intervention in a judicial review should be to help the court decide the case.</p><p>Details of interventions made by this department since 2010 are not held centrally.</p><p> </p>","Biography information for Simon Hughes","Bermondsey and Old Southwark","Simon Hughes","2014-10-24","211304"
"http://data.parliament.uk/resources/100226/answer","Ministry of Justice","<p /> <p>The Government is considering the judgment handed down by the High Court on 2 October. We will set out the next steps in due course.</p>","Biography information for Mr Shailesh Vara","North West Cambridgeshire","Mr Shailesh Vara","2014-10-24","211305"
"http://data.parliament.uk/resources/100227/answer","Ministry of Justice","<p>Data are published in Court Statistics Quarterly showing the number of outstanding trial cases in the Crown Court annually at the end of 2001, and quarterly at the end of each quarter commencing March 2009, including at the end of 30 September. The outstanding number of cases in magistrates’ courts is published broken down by indictable only trial cases, either way trial cases, summary motoring cases and summary non-motoring cases from the quarter ending June 2012. This data set was created in April 2012 so data is not available prior to that date. Prior to this, completed proceedings were published for magistrates’ courts. The data does not distinguish between trial cases still awaiting their trial and those who have either pleaded guilty or been convicted and are awaiting sentence. Court Statistics Quarterly is published at <a href="https://www.gov.uk/government/collections/court-statistics-quarterly" target="_blank">https://www.gov.uk/government/collections/court-statistics-quarterly</a> Data to September 2014 is due to be published on 18 December 2014.</p>","Biography information for Simon Hughes","Bermondsey and Old Southwark","Simon Hughes","2014-10-24","211356"
"http://data.parliament.uk/resources/100228/answer","Ministry of Justice","<p>I am expecting the review to report back to the Secretary of State for Justice by the end of October 2014 and we anticipate publishing it shortly thereafter.</p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-24","211355"
"http://data.parliament.uk/resources/100229/answer","Ministry of Justice","<p>It has not been possible to access this information within the time limit but I will provide an answer in due course.</p>","Biography information for Mr Shailesh Vara","North West Cambridgeshire","Mr Shailesh Vara","2014-10-24","211301"
"http://data.parliament.uk/resources/100230/answer","Ministry of Justice","<p /> <p>I am expecting the review to report back to the Secretary of State for Justice by the end of October 2014 and we anticipate publishing it shortly thereafter.</p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-24","211353"
"http://data.parliament.uk/resources/100231/answer","Ministry of Justice","<p>The number of proceedings held at magistrates’ court and at crown court in each year since 2010 are published on the Ministry of Justice website and can be viewed at the following link:-</p><p><a href="https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/358650/court-statistics-main-tables-april-june-2014.xls" target="_blank">https://www.gov.uk/government/uploads/system/uploads/attachment_data/file/358650/court-statistics-main-tables-april-june-2014.xls</a></p><p> </p><p>The number of cases received by the magistrates' courts can be found in table 3.1 and the number of cases received by the Crown Court can be found in table 3.3.</p>","Biography information for Mr Shailesh Vara","North West Cambridgeshire","Mr Shailesh Vara","2014-11-18","211296"
"http://data.parliament.uk/resources/100232/answer","Ministry of Justice","<p>The National Offender Management Service (NOMS) does not hold records of employees charged with all types of criminal activity.</p><p>Whilst the vast majority of its staff are honest and hard working, NOMS is committed to detecting, deterring and disrupting all corrupt behaviour by individuals working in prisons. A dedicated NOMS Corruption Prevention Unit was set up to ensure staff corruption is identified and tackled. As part of this work NOMS has compiled a central record of staff convicted of criminal offences which meet the NOMS definition of corruption.</p><p> </p><p>The NOMS definition is: Corruption occurs when a person in a position of authority or trust abuses their position for their or another person’s benefit or gain. This would include the misuse of their role in order to plan or commit a criminal act, or a deliberate failure to act to prevent criminal behaviour.</p><p> </p><p>The central record does not therefore include all types of criminality as not all offences meet the definition.</p><p> </p><p>There were 23 convictions for corruption-related offences during 2013. A breakdown of the different sentences is provided below.</p><p> </p><table><tbody><tr><td><p><strong>Sentences</strong></p></td></tr><tr><td><p>4 years 6 months imprisonment</p></td></tr><tr><td><p>4 years imprisonment</p></td></tr><tr><td><p>3 years imprisonment</p></td></tr><tr><td><p>1 year 9 months imprisonment</p></td></tr><tr><td><p>1 year 4 months imprisonment</p></td></tr><tr><td><p>1 year 1 month imprisonment</p></td></tr><tr><td><p>1 year imprisonment</p></td></tr><tr><td><p>9 months imprisonment</p></td></tr><tr><td><p>8 months imprisonment</p></td></tr><tr><td><p>6 months imprisonment</p></td></tr><tr><td><p>4 months imprisonment</p></td></tr><tr><td><p>10 months imprisonment</p></td></tr><tr><td><p>12 month custodial sentence suspended for 2 years.</p></td></tr><tr><td><p>11 months custodial sentence suspended for a year</p></td></tr><tr><td><p>9 months custodial sentence suspended for 12 months, 200 hours community service</p></td></tr><tr><td><p>8 months custodial sentence suspended for 2 years and a 6 month residency order</p></td></tr><tr><td><p>4 months custodial sentence suspended for 2 years</p></td></tr><tr><td><p>4 months custodial sentence suspended for 2 years, 100 hours unpaid work</p></td></tr><tr><td><p>12 months Community Order, 150 hours unpaid work</p></td></tr><tr><td><p>100 hours community service and 12 months probation</p></td></tr><tr><td><p>Community Order. Ordered to pay £85 costs and £60 to complainants</p></td></tr></tbody></table><p> </p><p>The total number of convictions by year for corruption-related offences is shown in the table below. The number of convictions has remained broadly constant over the last five years.</p><table><tbody><tr><td><p><strong>2013</strong></p></td><td><p>23</p></td></tr><tr><td><p><strong>2012</strong></p></td><td><p>25</p></td></tr><tr><td><p><strong>2011</strong></p></td><td><p>21</p></td></tr><tr><td><p><strong>2010</strong></p></td><td><p>18</p></td></tr><tr><td><p><strong>2009</strong></p></td><td><p>21</p></td></tr></tbody></table>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-11-03","211295"
"http://data.parliament.uk/resources/100233/answer","Ministry of Justice","<p>Parties with no legal representation are not a new phenomenon in our courts. Judges are used to helping persons with no legal representation, including explaining procedures and what is expected of them. We have taken steps to help people who either want or have to represent themselves in court, particularly in the family court. On 23 October we announced further support for separating parents and court users in civil and family courts.</p><p>The new support will include:</p><p>· Improving online information so that it is accurate, engaging and easy to find.</p><p>· A new strategy, funded by the Ministry of Justice, and agreed with the legal and advice sectors which will help to increase legal and practical support for litigants in person in the civil and family courts.</p><p>· A new <em>‘Supporting separating parents in dispute helpline’</em> pilot run by the Children and Family Court Advisory and Support Service (Cafcass) to test a more joined-up and tailored out-of-court service.</p><p>This package of support will help provide separating couples and court users with the information, advice and guidance they need to help settle disputes in the most appropriate and proportionate way.</p><p> </p><p>However, it has not been possible to answer the question within the timeframe as the information is being assembled from a variety of sources, but I will write to the Honourable Member as soon as it is available. A copy of the letter will be placed in the House Library.</p><p> </p>","Biography information for Simon Hughes","Bermondsey and Old Southwark","Simon Hughes","2014-10-24","211297"
"http://data.parliament.uk/resources/100234/answer","Ministry of Justice","<p /> <p>The review team, which includes the Chair of the review - Stephen Phillips QC MP, the advisors assisting him and the two secretariat staff, have attended fourteen meetings since 14 July 2014.</p><p> </p><p>These include an oral evidence session, a visit to HMP Manchester and Cheshire and Greater Manchester CRC and a meeting to discuss progress between the Lord Chancellor and Secretary of State for Justice, Stephen Phillips QC MP and myself – Mike Penning MP.</p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-24","211338"
"http://data.parliament.uk/resources/100235/answer","Ministry of Justice","<p>The stalking offences under the Protection from Harassment Act 1997, sections 2A (stalking) and 4A (stalking involving fear of violence or serious alarm or distress), have been available from 25 November 2012. The two stalking offences provide further options for prosecutors when considering charges relating to harassing behaviour. The section 2A offence has a maximum penalty of six months’ imprisonment and/or a fine, and the section 4A offence has a maximum penalty of 5 years’ imprisonment.</p><p> </p><p>A court dealing with a person convicted of any offence, including those under sections 2, 2A, 4 or 4A of the Protection from Harassment Act 1997, may make a restraining order prohibiting the defendant from doing anything described in the order. This order can be made in addition to a custodial sentence or other sentence. The order can be especially useful in preventing continued stalking and harassment by defendants, including those who are given sentences of imprisonment. Breach of a restraining order has a maximum penalty of five years’ imprisonment.</p><p> </p><p>Sentencing in individual cases is entirely a matter for our independent courts, taking account of all the circumstances of each case.</p><p> </p><p>The number of restraining orders issued at all courts and those found guilty of breach of a restraining order under the Protection of Harassment Act 1997 in England and Wales from 2011 to 2013 (latest available) can be viewed in table 1.</p><p> </p><p>The number of defendants proceeded against at magistrates' court, found guilty and sentenced at all courts, with sentencing breakdown, for selected offences under the Protection from Harassment Act 1997, in England &amp; Wales, from 2012 to 2013, can be viewed in table 2. The Ministry of Justice does not hold figures on cases not yet dealt with.</p><p> </p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-28","211308"
"http://data.parliament.uk/resources/100236/answer","Attorney General","<p>The Crown Prosecution Service (CPS) does not maintain a separate record of the number of people charged and prosecuted for stalking under sections (a) 2A and (b) 4A of the Protection from Harassment Act 1997 who could not have been charged for harassment using sections (i) 2 and (ii) 4.</p><p> </p><p>The Protection of Freedoms Act 2012 does not provide a definitive list of behaviors that would allow for a prosecution for either harassment or stalking and CPS prosecutors determine the most appropriate charges in any given prosecution based on the facts of the case.</p><p> </p>","Biography information for Robert Buckland","South Swindon","Mr Robert Buckland","2014-10-27","211307"
"http://data.parliament.uk/resources/100237/answer","Ministry of Justice","<p>The stalking offences under the Protection from Harassment Act 1997, sections 2A (stalking) and 4A (stalking involving fear of violence or serious alarm or distress), have been available from 25 November 2012. The two stalking offences provide further options for prosecutors when considering charges relating to harassing behaviour. The section 2A offence has a maximum penalty of six months’ imprisonment and/or a fine, and the section 4A offence has a maximum penalty of 5 years’ imprisonment.</p><p> </p><p>A court dealing with a person convicted of any offence, including those under sections 2, 2A, 4 or 4A of the Protection from Harassment Act 1997, may make a restraining order prohibiting the defendant from doing anything described in the order. This order can be made in addition to a custodial sentence or other sentence. The order can be especially useful in preventing continued stalking and harassment by defendants, including those who are given sentences of imprisonment. Breach of a restraining order has a maximum penalty of five years’ imprisonment.</p><p> </p><p>Sentencing in individual cases is entirely a matter for our independent courts, taking account of all the circumstances of each case.</p><p> </p><p>The number of restraining orders issued at all courts and those found guilty of breach of a restraining order under the Protection of Harassment Act 1997 in England and Wales from 2011 to 2013 (latest available) can be viewed in table 1.</p><p> </p><p>The number of defendants proceeded against at magistrates' court, found guilty and sentenced at all courts, with sentencing breakdown, for selected offences under the Protection from Harassment Act 1997, in England &amp; Wales, from 2012 to 2013, can be viewed in table 2. The Ministry of Justice does not hold figures on cases not yet dealt with.</p><p> </p>","Biography information for Mike Penning","Hemel Hempstead","Mike Penning","2014-10-28","211306"
"http://data.parliament.uk/resources/100238/answer","Ministry of Justice","<p /> <p>The number of investigations into prison imams completed between 1 January 2010 and 30 June 2014 was 13, 9 of which resulted in disciplinary action. Figures have not been provided for individual years as the numbers in each year, other than 2013, are five or fewer. The detail cannot be provided to prevent identification or disclosure relating to individual cases. Similarly, information on the alleged breach of conduct and discipline is not being provided for the same reasons.</p><p> </p><p>There are 100 directly employed and also 120 sessional Muslim Chaplains. All employed Chaplains go through a robust recruitment process. Following a competency based application and panel sift there is a three part board consisting of sermon, role play and panel interview. A Chaplain also requires endorsement by their faith community - for Muslim Chaplains this would be the NOMS Muslim Adviser. Sessional Muslim Chaplains are required to have the appropriate Islamic credentials checked by our Muslim Adviser. A disciplinary investigation for an employed Chaplain follows the same process as that for any other NOMS employee.</p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-11-18","211257"
"http://data.parliament.uk/resources/100239/answer","Ministry of Justice","<p /> <p>This Government takes recovery and enforcement of financial impositions very seriously and remains committed to finding new ways to encourage payment of impositions and to trace those who do not pay. This is why there has been a year on year increase in the amount of financial penalties collected over the last three years.</p><p> </p><p>When it appears to H M Courts and Tribunals Service (HMCTS) that an offender is normally resident in another EU country HMCTS can transfer road traffic offence fines, imposed by courts in this country, to other EU jurisdictions for enforcement under the EU Framework Decision on Mutual Recognition of Financial Penalties (MRFP). The Framework Decision obliges Member States to take over enforcement of eligible fines imposed by other Member States’ courts, where the offender is resident or has assets in the enforcing state.</p><p> </p><p>Where the offender is resident in a non EU country or in one not included in the MRFP Framework there is no mechanism for HMCTS to be able to recover the amounts outstanding.</p>","Biography information for Mr Shailesh Vara","North West Cambridgeshire","Mr Shailesh Vara","2014-10-27","211223"
"http://data.parliament.uk/resources/100240/answer","Ministry of Justice","<p>The creation of the Prison Service Reserve was announced in June. Staff information will be published in late November, covering the period up to 30 September.</p><p>The National Offender Management Service has written to 2,066 selected former staff who left during the past two years, inviting them to volunteer for a fixed term contract of up to nine months. In response to positive replies from former employees, 435 application packs were distributed.</p><p> </p><p>Recruitment for both the Prison Service Reserves and for permanent officers is progressing well. NOMS is currently aiming to appoint up to 100 Reserves (full time equivalents), but with the flexibility to develop the Reserve as required. We will also be recruiting nearly 1,700 Prison Officers on permanent contracts between 1 January 2014 to 31 March 2015.</p><p> </p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211208"
"http://data.parliament.uk/resources/100241/answer","Ministry of Justice","<p /> <p>The Protection from Harassment Act 1997 (PHA) makes it a criminal offence for someone to pursue a course of conduct which amounts to harassment (section 2) or causes someone to fear that violence will be used against them (section 4).</p><p> </p><p>The PHA was amended by the Protection of Freedoms Act 2012 to insert two specific offences of stalking - sections 2A (stalking) and 4A (stalking involving fear of violence or serious alarm or distress).</p><p> </p><p>The average custodial sentence for people found guilty of harassment and stalking in between 2009 and 2013 can be viewed in the table.</p>","Biography information for Simon Hughes","Bermondsey and Old Southwark","Simon Hughes","2014-10-24","211252"
"http://data.parliament.uk/resources/100242/answer","Ministry of Justice","<p>The Probation Service transitioned to new structures on 1 June following thorough business readiness testing which demonstrated that NOMS was ready to make that transition at that time. The new CRCs are sufficiently resourced to deliver their core duties and we will ensure that there is enough capacity to meet demand within the new system. Offender management statistics are published quarterly. The statistical bulletin for the quarter ending 30 June 2014 will be published at the end of October 2014, and the bulletin for the quarter ending 30 September will be published at the end of January 2015.</p><p> </p><p>Pending transactions – where a case is in the process of being transferred to another part of the Service for further action – are by their nature fluid. These cases are managed on a daily basis to ensure they are transferred as efficiently as possible. The figure varies from day to day and is not published.</p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211237"
"http://data.parliament.uk/resources/100243/answer","Ministry of Justice","<p>The National Agreement on Staff Transfer and Protections includes an enhanced national voluntary redundancy scheme which applies up to and including 31 March 2016. Decisions including agreement on applications for voluntary redundancy have to be made and agreed by 31 March 2015. The costs of all exits under this scheme will be met from the Department’s Modernisation Fund, which is used to support sustainable reductions in resource requirements.</p><p> </p><p>Figures relating to the numbers of redundancies will in due course be published in the NOMS Annual Report and Accounts.</p><p> </p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211238"
"http://data.parliament.uk/resources/100244/answer","Ministry of Justice","<p>Public Protection is a key priority for this Government. Given the social and financial costs incurred by high reoffending rates, it is imperative that we act now to help offenders turn their backs on crime. With more than half a million crimes committed each year by those who have broken the law before, the status quo is not an option. It is for this reason that the Government set out in the Coalition Agreement our commitment to reform offender rehabilitation services.</p><p> </p><p>The Government does of course understand the need to implement these reforms in a manner that ensures that public safety is maintained. This is why we have been clear that we will manage these changes in a controlled way and will not proceed until we are satisfied that it is safe to do so. We continue to monitor the performance of the system.</p><p> </p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211239"
"http://data.parliament.uk/resources/100245/answer","Ministry of Justice","<p>The National Agreement on Staff Transfer and Protections includes an enhanced national voluntary redundancy scheme which applies up to and including 31 March 2016. Decisions including agreement on applications for voluntary redundancy have to be made and agreed by 31 March 2015. The costs of all exits under this scheme will be met from the Department’s Modernisation Fund, which is used to support sustainable reductions in resource requirements.</p><p> </p><p>Figures relating to the numbers of redundancies will in due course be published in the NOMS Annual Report and Accounts.</p><p> </p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211240"
"http://data.parliament.uk/resources/100246/answer","Ministry of Justice","<p>The Probation Service transitioned to new structures on 1 June following thorough business readiness testing which demonstrated that NOMS was ready to make that transition at that time. The new CRCs are sufficiently resourced to deliver their core duties and we will ensure that there is enough capacity to meet demand within the new system. Offender management statistics are published quarterly. The statistical bulletin for the quarter ending 30 June 2014 will be published at the end of October 2014, and the bulletin for the quarter ending 30 September will be published at the end of January 2015.</p><p> </p><p>Pending transactions – where a case is in the process of being transferred to another part of the Service for further action – are by their nature fluid. These cases are managed on a daily basis to ensure they are transferred as efficiently as possible. The figure varies from day to day and is not published.</p>","Biography information for Andrew Selous","South West Bedfordshire","Andrew Selous","2014-10-28","211241"
